textID,text,selected_text,sentiment,clean_text,word_count,sen_count,char_count,url_list,jaccard,selected_char_count,char_count_raw
af3fed7fc3,is back home now      gonna miss every one,onna,negative,is back home now      gonna miss every one,8,1,42,[],0.0,4,42
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative,mannnn..... _ got an iphone!!! im jealous....  ,7,4,47,['http://bit.ly/NgnaR'],0.0,9,66
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,He`s awesome... Have you worked with him before? He`s a good friend.,12,3,68,[],0.0,9,70
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",19,3,136,[],0.0,9,136
401869d615,graduation is done  im a little sad.. anyone want to hang out???,sad.,negative,graduation is done  im a little sad.. anyone want to hang out???,12,2,64,[],0.0,4,64
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative,those splinters look very painful...but you were being very heroic saving mr. Pickle,13,3,84,[],0.0,8,85
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive,"She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",19,3,121,[],0.0,10,122
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,great,positive,Few Bevvies 2day in twn..great on a day off!!,9,2,45,[],0.0,5,45
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative,lost my tooth 2day whilst i was eating gum...oww,9,2,48,[],0.0,3,48
f0db54f5bf,im soo bored...im deffo missing my music channels,bored..,negative,im soo bored...im deffo missing my music channels,8,2,49,[],0.0,7,49
a54d3c2825," I know   It was worth a shot, though!",as wort,positive,"I know   It was worth a shot, though!",8,1,37,[],0.0,7,38
322b61740c,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",perfect ma,positive,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",11,2,75,[],0.0,10,75
ebc8565a98," nothing aimed at you, just joining in...sorry",.sorry,negative,"nothing aimed at you, just joining in...sorry",7,2,45,[],0.0,6,46
ee9df322d1,"   Sorry, we`ll try to keep it down.",Sorr,negative,"Sorry, we`ll try to keep it down.",7,1,33,[],0.0,4,36
18f60b8879, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,wack.,negative,but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,23,3,125,[],0.0,5,126
72cfb17265," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",fail),negative,"'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people ",17,2,108,['http://tr.im/kWUA'],0.0,5,126
bc879a25b0,.....headache,headache,negative,.....headache,1,1,13,[],0.0,8,13
eba1f29fb0, boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,boo.,negative,boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,15,2,81,[],0.0,4,82
e5b5debcdc, .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,.great.,positive,.. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,16,3,74,[],0.0,7,75
